id,severity_type,fault_severity,location
6597,severity_type 2,,location 1
8011,severity_type 2,0.0,location 1
2597,severity_type 2,,location 1
5022,severity_type 1,,location 1
6852,severity_type 1,,location 1
5611,severity_type 2,,location 1
14838,severity_type 1,,location 1
2588,severity_type 1,0.0,location 1
4848,severity_type 1,0.0,location 1
6914,severity_type 1,0.0,location 1
5337,severity_type 1,0.0,location 1
10460,severity_type 1,,location 1
15494,severity_type 1,0.0,location 1
10289,severity_type 1,,location 1
8587,severity_type 1,,location 1
12943,severity_type 1,,location 1
590,severity_type 2,,location 1
16416,severity_type 2,,location 1
3399,severity_type 1,,location 1
1505,severity_type 1,,location 1
9446,severity_type 1,,location 1
12482,severity_type 2,,location 1
16538,severity_type 1,,location 1
2250,severity_type 1,0.0,location 1
5259,severity_type 1,0.0,location 1
12751,severity_type 2,,location 1
5195,severity_type 2,,location 1
1233,severity_type 1,,location 1
4703,severity_type 1,2.0,location 1
17508,severity_type 1,,location 1
6008,severity_type 1,,location 1
2906,severity_type 2,0.0,location 1
1247,severity_type 1,0.0,location 1
17909,severity_type 1,,location 1
8148,severity_type 1,1.0,location 1
17595,severity_type 1,2.0,location 1
7515,severity_type 1,,location 1
17041,severity_type 1,1.0,location 1
6692,severity_type 2,,location 1
14595,severity_type 2,1.0,location 1
15952,severity_type 1,1.0,location 1
9664,severity_type 2,1.0,location 1
3952,severity_type 1,1.0,location 1
8461,severity_type 2,,location 1
6743,severity_type 2,,location 1
16097,severity_type 1,0.0,location 1
1235,severity_type 1,1.0,location 1
9317,severity_type 2,,location 1
9651,severity_type 1,,location 1
7832,severity_type 1,,location 1
5280,severity_type 1,1.0,location 1
282,severity_type 2,,location 1
4574,severity_type 1,,location 1
2043,severity_type 2,,location 1
6693,severity_type 1,,location 1
16479,severity_type 2,,location 1
7466,severity_type 1,,location 1
4814,severity_type 2,,location 1
10842,severity_type 2,,location 1
10039,severity_type 2,,location 1
4337,severity_type 2,,location 1
4787,severity_type 2,,location 1
16586,severity_type 1,0.0,location 1
8796,severity_type 1,,location 1
6954,severity_type 2,,location 1
17648,severity_type 2,,location 1
1849,severity_type 2,0.0,location 1
16949,severity_type 2,0.0,location 1
14593,severity_type 2,,location 1
12587,severity_type 2,,location 10
2240,severity_type 1,0.0,location 10
5356,severity_type 1,,location 10
1285,severity_type 2,,location 100
17155,severity_type 1,,location 100
1308,severity_type 2,0.0,location 100
3251,severity_type 2,,location 100
9313,severity_type 1,0.0,location 100
14926,severity_type 2,,location 100
17407,severity_type 2,0.0,location 100
6395,severity_type 2,0.0,location 100
16600,severity_type 2,,location 100
137,severity_type 2,,location 100
17255,severity_type 2,0.0,location 100
8443,severity_type 2,,location 100
9291,severity_type 2,,location 100
1821,severity_type 2,,location 100
13270,severity_type 2,,location 100
18500,severity_type 2,,location 100
8774,severity_type 4,0.0,location 100
1243,severity_type 2,,location 100
6474,severity_type 2,1.0,location 100
15687,severity_type 2,,location 100
16351,severity_type 2,,location 100
5163,severity_type 2,,location 100
12650,severity_type 4,0.0,location 100
7116,severity_type 2,,location 100
18189,severity_type 2,,location 100
2653,severity_type 4,0.0,location 100
3331,severity_type 2,0.0,location 100
3375,severity_type 2,0.0,location 100
16056,severity_type 2,0.0,location 100
14969,severity_type 2,,location 100
12825,severity_type 2,,location 100
6176,severity_type 2,,location 100
15850,severity_type 2,0.0,location 100
10825,severity_type 2,,location 100
16628,severity_type 2,,location 100
3446,severity_type 2,0.0,location 100
8716,severity_type 1,1.0,location 100
14963,severity_type 1,,location 1000
12318,severity_type 2,0.0,location 1000
18076,severity_type 1,0.0,location 1000
11833,severity_type 1,0.0,location 1000
402,severity_type 1,,location 1001
1288,severity_type 1,,location 1001
16595,severity_type 1,,location 1001
18413,severity_type 1,0.0,location 1002
9859,severity_type 1,,location 1002
2578,severity_type 1,,location 1003
1204,severity_type 1,,location 1003
4497,severity_type 1,,location 1004
37,severity_type 1,,location 1005
3629,severity_type 1,0.0,location 1005
16795,severity_type 2,,location 1006
16106,severity_type 1,,location 1006
8185,severity_type 1,,location 1006
8235,severity_type 1,,location 1006
14315,severity_type 1,,location 1006
17756,severity_type 1,,location 1006
14562,severity_type 1,,location 1006
8930,severity_type 1,,location 1006
11231,severity_type 1,0.0,location 1006
17812,severity_type 2,0.0,location 1006
3112,severity_type 2,0.0,location 1006
6253,severity_type 2,0.0,location 1007
187,severity_type 1,,location 1007
10816,severity_type 1,0.0,location 1007
2008,severity_type 1,0.0,location 1007
10445,severity_type 1,0.0,location 1007
258,severity_type 1,,location 1007
15834,severity_type 2,,location 1007
12334,severity_type 1,,location 1007
9644,severity_type 1,0.0,location 1007
14743,severity_type 1,0.0,location 1007
6208,severity_type 1,0.0,location 1007
6802,severity_type 2,,location 1007
14860,severity_type 1,0.0,location 1007
14899,severity_type 1,,location 1007
581,severity_type 2,0.0,location 1007
10985,severity_type 2,,location 1007
11010,severity_type 1,,location 1007
722,severity_type 1,0.0,location 1007
1747,severity_type 1,,location 1007
1349,severity_type 2,0.0,location 1007
11444,severity_type 1,1.0,location 1007
16517,severity_type 1,,location 1007
16202,severity_type 1,,location 1007
12511,severity_type 1,,location 1007
15171,severity_type 1,,location 1007
3879,severity_type 1,,location 1007
1863,severity_type 1,,location 1007
5142,severity_type 1,,location 1007
6796,severity_type 1,,location 1007
13838,severity_type 1,0.0,location 1007
10913,severity_type 1,,location 1007
6880,severity_type 1,,location 1007
685,severity_type 1,,location 1007
10680,severity_type 1,,location 1007
13845,severity_type 1,,location 1007
17736,severity_type 2,,location 1007
10319,severity_type 2,0.0,location 1007
10970,severity_type 1,,location 1007
13652,severity_type 2,,location 1007
10161,severity_type 1,0.0,location 1007
725,severity_type 1,,location 1007
5074,severity_type 2,0.0,location 1007
5924,severity_type 1,,location 1007
10516,severity_type 1,1.0,location 1007
6883,severity_type 1,,location 1007
5545,severity_type 1,0.0,location 1007
14433,severity_type 1,1.0,location 1007
18058,severity_type 2,0.0,location 1008
5834,severity_type 1,,location 1008
4630,severity_type 2,0.0,location 1008
17414,severity_type 2,0.0,location 1008
6244,severity_type 1,,location 1008
3158,severity_type 2,,location 1008
16320,severity_type 2,,location 1008
3465,severity_type 2,0.0,location 1008
13490,severity_type 2,0.0,location 1008
4628,severity_type 2,,location 1008
4029,severity_type 2,0.0,location 1008
15057,severity_type 2,0.0,location 1008
13522,severity_type 2,,location 1008
5254,severity_type 1,0.0,location 1008
14991,severity_type 1,,location 1008
2810,severity_type 2,,location 1008
5025,severity_type 2,,location 1008
14112,severity_type 2,,location 1008
5352,severity_type 1,,location 1008
7049,severity_type 1,0.0,location 1008
17758,severity_type 2,,location 1008
11766,severity_type 1,0.0,location 1008
1574,severity_type 1,0.0,location 1008
7237,severity_type 1,,location 1008
10902,severity_type 1,0.0,location 1008
9016,severity_type 2,0.0,location 1008
13955,severity_type 1,0.0,location 1008
11005,severity_type 1,0.0,location 1008
16584,severity_type 1,,location 1008
8277,severity_type 2,0.0,location 1008
15081,severity_type 1,,location 1008
18220,severity_type 1,0.0,location 1008
4595,severity_type 2,,location 1008
1666,severity_type 2,0.0,location 1008
7585,severity_type 2,1.0,location 1008
4309,severity_type 2,0.0,location 1008
16809,severity_type 2,1.0,location 1008
2385,severity_type 1,,location 1008
16139,severity_type 1,,location 1008
7077,severity_type 2,,location 1008
11828,severity_type 1,,location 1008
2774,severity_type 2,1.0,location 1008
11037,severity_type 2,2.0,location 1008
11464,severity_type 1,,location 1008
15801,severity_type 1,2.0,location 1008
12847,severity_type 2,,location 1008
4002,severity_type 1,,location 1008
11100,severity_type 2,1.0,location 1008
10511,severity_type 2,2.0,location 1008
14706,severity_type 1,,location 1008
462,severity_type 1,1.0,location 1008
7885,severity_type 2,,location 1008
12276,severity_type 2,1.0,location 1008
10402,severity_type 1,,location 1008
3412,severity_type 2,,location 1008
6860,severity_type 2,,location 1008
11114,severity_type 2,,location 1008
9907,severity_type 2,0.0,location 1008
4121,severity_type 2,,location 1008
10493,severity_type 1,,location 1008
11770,severity_type 1,,location 1008
965,severity_type 1,,location 1008
18004,severity_type 2,0.0,location 1008
5928,severity_type 1,2.0,location 1008
7405,severity_type 1,,location 1008
6803,severity_type 2,0.0,location 1008
8764,severity_type 2,,location 1008
